AGI,dir,tp
AT2G10975,down,10 min
AT2G11405,down,10 min
AT2G11462,down,10 min
AT2G12875,down,10 min
AT2G12935,down,10 min
AT2G13125,down,10 min
AT2G17305,down,10 min
AT5G13825,down,10 min
AT5G22180,down,10 min
AT5G22190,down,10 min
AT5G24355,down,10 min
AT5G26617,down,10 min
AT5G28463,down,10 min
AT5G28820,down,10 min
AT5G28823,down,10 min
AT5G28885,down,10 min
AT5G30341,down,10 min
AT5G33898,down,10 min
AT5G34881,down,10 min
AT5G34883,down,10 min
AT5G35604,down,10 min
AT5G35945,down,10 min
AT5G42957,down,10 min
AT5G53905,down,10 min
AT4G01245,down,10 min
AT4G01535,down,10 min
AT4G07675,down,10 min
AT4G08025,down,10 min
AT4G08097,down,10 min
AT4G08395,down,10 min
AT4G11385,down,10 min
AT4G15053,down,10 min
AT4G15056,down,10 min
AT1G02965,down,10 min
AT1G05615,down,10 min
AT1G07473,down,10 min
AT1G07476,down,10 min
AT1G11145,down,10 min
AT1G16025,down,10 min
AT1G21323,down,10 min
AT1G21475,down,10 min
AT1G35365,down,10 min
AT1G36960,down,10 min
AT1G43415,down,10 min
AT1G61095,down,10 min
AT1G66045,down,10 min
AT1G66245,down,10 min
AT1G71235,down,10 min
AT3G20155,down,10 min
AT3G23245,down,10 min
AT3G24517,down,10 min
AT3G25727,down,10 min
AT3G26616,down,10 min
AT3G28925,down,10 min
AT3G32896,down,10 min
AT3G33393,down,10 min
AT3G33494,down,10 min
AT3G42786,down,10 min
AT3G44115,down,10 min
AT3G44235,down,10 min
AT3G44935,down,10 min
AT3G48675,down,10 min
AT2G39975,down,10 min
AT3G23172,down,10 min
AT5G29613,down,10 min
AT2G03930,down,10 min
AT2G30985,down,10 min
AT1G05085,down,10 min
AT1G53285,down,10 min
AT1G61097,down,10 min
AT3G05725,down,10 min
AT3G11405,down,10 min
AT4G01985,down,10 min
AT4G27415,down,10 min
AT5G39630,down,10 min
AT4G35610,down,10 min
AT4G04775,down,10 min
AT5G15690,down,10 min
AT5G61110,down,10 min
AT3G43490,down,10 min
