panel_source,panel_group,gene,rank,logfoldchanges,pvals_adj,score
germ_cluster,11,AT5G03795,33,1.6459299325942993,0.9990551353093886,0.316362589597702
germ_cluster,11,AT1G55580,34,2.726527452468872,0.9990551353093886,0.2877205014228821
germ_cluster,11,AT5G55490,35,1.354927659034729,0.9990551353093886,0.2651967704296112
germ_cluster,11,AT3G48580,36,2.5362143516540527,0.9990551353093886,0.2567880153656006
germ_cluster,11,AT4G39363,37,1.7650419473648071,0.9990551353093886,0.2561302185058594
germ_cluster,11,AT2G27380,38,2.0748069286346436,0.9990551353093886,0.2413376271724701
germ_cluster,11,AT5G02460,39,1.2388590574264526,0.9990551353093886,0.23928892612457275
germ_cluster,11,AT1G14950,40,3.59031343460083,0.9990551353093886,0.2375374287366867
germ_cluster,11,AT1G70810,41,0.9283536076545715,0.9990551353093886,0.2274128496646881
germ_cluster,11,AT2G34315,42,3.5790226459503174,0.9990551353093886,0.2273375540971756
germ_cluster,11,AT4G18690,43,1.608389139175415,0.9990551353093886,0.22491241991519928
germ_cluster,11,AT4G15396,44,1.2418590784072876,0.9990551353093886,0.20916877686977386
germ_cluster,11,AT3G52490,45,1.1720328330993652,0.9990551353093886,0.20007449388504028
germ_cluster,11,AT1G09080,46,3.6856062412261963,0.9990551353093886,0.1970866471529007
germ_cluster,11,AT2G26560,47,1.260247826576233,0.9990551353093886,0.19482792913913727
germ_cluster,11,AT2G35980,48,2.720062494277954,0.9990551353093886,0.19146759808063507
germ_cluster,11,ATMG00570,49,1.5777778625488281,0.9990551353093886,0.1897636502981186
germ_cluster,11,AT2G07667,50,1.525258183479309,0.9990551353093886,0.1851273477077484
germ_cluster,12,AT5G02380,1,3.690683126449585,0.0,38.3054084777832
germ_cluster,12,AT2G41430,2,2.0755295753479004,6.591141665395863e-263,34.89219665527344
germ_cluster,12,AT2G02130,3,3.508334159851074,9.477570184738724e-232,32.76115798950195
germ_cluster,12,AT5G20010,4,2.2095236778259277,2.7241526904772737e-231,32.72016143798828
germ_cluster,12,AT5G54940,5,2.1843318939208984,8.746213001310684e-230,32.60723114013672
germ_cluster,12,AT5G11740,6,1.7050178050994873,1.5927256318747668e-223,32.15687942504883
germ_cluster,12,AT3G09440,7,2.2103803157806396,1.1877451217545095e-208,31.0698299407959
germ_cluster,12,AT4G24960,8,3.8856756687164307,8.192958042538057e-198,30.252378463745117
germ_cluster,12,AT1G55210,9,4.283396244049072,1.8634910609760826e-192,29.838380813598633
germ_cluster,12,AT5G10695,10,2.300140142440796,1.4309865353140914e-161,27.34720230102539
germ_cluster,12,AT4G27960,11,2.4303531646728516,1.6711292034085042e-156,26.914514541625977
germ_cluster,12,AT4G36988,12,2.672527551651001,2.3496656170544845e-152,26.551979064941406
